Gloss,F1
accident,1.0
africa,1.0
apple,1.0
argue,1.0
baby,1.0
bad,1.0
balance,1.0
ball,1.0
bar,1.0
basketball,1.0
beard,1.0
bed,1.0
before,1.0
black,1.0
blanket,1.0
bowling,1.0
brother,1.0
buy,1.0
call,1.0
can,1.0
candy,1.0
catch,1.0
champion,1.0
change,1.0
chat,1.0
cheat,1.0
check,1.0
class,1.0
cold,1.0
color,1.0
computer,1.0
cool,1.0
corn,1.0
cousin,1.0
cow,1.0
crash,1.0
cry,1.0
dark,1.0
daughter,1.0
day,1.0
deaf,1.0
delay,1.0
delicious,1.0
doctor,1.0
dog,1.0
environment,1.0
example,1.0
family,1.0
far,1.0
fat,1.0
fault,1.0
fine,1.0
finish,1.0
fish,1.0
football,1.0
full,1.0
girl,1.0
give,1.0
glasses,1.0
go,1.0
government,1.0
graduate,1.0
hear,1.0
hearing,1.0
help,1.0
how,1.0
improve,1.0
inform,1.0
language,1.0
later,1.0
laugh,1.0
letter,1.0
like,1.0
mother,1.0
move,1.0
near,1.0
no,1.0
now,1.0
orange,1.0
pizza,1.0
pull,1.0
rabbit,1.0
rob,1.0
russia,1.0
sandwich,1.0
shirt,1.0
small,1.0
soon,1.0
sunday,1.0
take,1.0
take turns,1.0
thanksgiving,1.0
trade,1.0
ugly,1.0
want,1.0
what,1.0
white,1.0
why,1.0
write,1.0
yesterday,1.0
