Gloss,F1
accident,1.0
africa,1.0
apple,1.0
bad,1.0
balance,1.0
ball,1.0
bar,1.0
beard,1.0
because,1.0
before,1.0
black,1.0
blanket,1.0
bowling,1.0
buy,1.0
call,1.0
can,1.0
candy,1.0
catch,1.0
champion,1.0
change,1.0
chat,1.0
check,1.0
class,1.0
cold,1.0
color,1.0
computer,1.0
corn,1.0
cousin,1.0
cow,1.0
cry,1.0
dark,1.0
daughter,1.0
day,1.0
deaf,1.0
delay,1.0
delicious,1.0
drop,1.0
environment,1.0
family,1.0
far,1.0
fault,1.0
fine,1.0
finish,1.0
fish,1.0
football,1.0
full,1.0
girl,1.0
give,1.0
glasses,1.0
go,1.0
good,1.0
government,1.0
graduate,1.0
happy,1.0
hat,1.0
hearing,1.0
help,1.0
how,1.0
humble,1.0
improve,1.0
inform,1.0
iran,1.0
kiss,1.0
later,1.0
laugh,1.0
letter,1.0
like,1.0
make,1.0
man,1.0
many,1.0
mean,1.0
meet,1.0
mother,1.0
move,1.0
near,1.0
new,1.0
no,1.0
now,1.0
orange,1.0
party,1.0
past,1.0
pink,1.0
pizza,1.0
play,1.0
practice,1.0
rob,1.0
room,1.0
russia,1.0
same,1.0
sandwich,1.0
school,1.0
secretary,1.0
shirt,1.0
short,1.0
show,1.0
small,1.0
snow,1.0
stay,1.0
student,1.0
sunday,1.0
take,1.0
take turns,1.0
tall,1.0
tell,1.0
test,1.0
thanksgiving,1.0
thin,1.0
trade,1.0
visit,1.0
wait,1.0
walk,1.0
want,1.0
week,1.0
what,1.0
white,1.0
who,1.0
why,1.0
work,1.0
write,1.0
wrong,1.0
year,1.0
yes,1.0
yesterday,1.0
you,1.0
